url,source,is_keeper,repo,owner,org
https://github.com/Ohlasy/web,github,False,web,Ohlasy,Ohlasy
https://github.com/vamind/terrific,github,False,terrific,vamind,vamind
https://github.com/natlungfy/natlungfy.github.io,github,False,natlungfy.github.io,natlungfy,natlungfy
https://github.com/xzzhang2/xzzhang2.github.io,github,False,xzzhang2.github.io,xzzhang2,xzzhang2
https://github.com/hackshackers/misinfocon-event-calendar,github,False,misinfocon-event-calendar,hackshackers,hackshackers
https://github.com/ndarville/workfolio,github,False,workfolio,ndarville,ndarville
https://github.com/psolbach/xjournalism-data,github,False,xjournalism-data,psolbach,psolbach
https://github.com/datadesk/census-hard-to-map-analysis,github,True,census-hard-to-map-analysis,datadesk,Los Angeles Times
https://github.com/datadesk/hsr-document-analysis,github,True,hsr-document-analysis,datadesk,Los Angeles Times
https://github.com/ryanvmenezes/lawlers-law,github,True,lawlers-law,ryanvmenezes,Los Angeles Times
https://github.com/kyleykim/R_Scripts/tree/master/la-me-ln-california-fire-aircraft-delay,github,True,la-me-ln-california-fire-aircraft-delay,kyleykim,Los Angeles Times
https://github.com/kyleykim/R_Scripts/tree/master/la-me-ln-hhh-unequal,github,True,la-me-ln-hhh-unequal,kyleykim,Los Angeles Times
https://github.com/datadesk/deleon-district-election-results-analysis,github,True,deleon-district-election-results-analysis,datadesk,Los Angeles Times
https://github.com/BuzzFeedNews/2019-08-actblue-donations,github,True,2019-08-actblue-donations,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2019-07-fec-daily-donors,github,True,2019-07-fec-daily-donors,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2019-04-democratic-candidate-codonors,github,True,2019-04-democratic-candidate-codonors,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-12-fake-news-top-50,github,True,2018-12-fake-news-top-50,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-12-wechat-pence/,github,True,,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-10-russian-troll-tweets,github,True,2018-10-russian-troll-tweets,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-10-midterm-demographics,github,True,2018-10-midterm-demographics,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-09-ftc-analysis,github,True,2018-09-ftc-analysis,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-08-charlottesville-twitter-trolls,github,True,2018-08-charlottesville-twitter-trolls,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-07-ofsted-inspections,github,True,2018-07-ofsted-inspections,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-06-nyc-311-complaints-and-gentrification,github,True,2018-06-nyc-311-complaints-and-gentrification,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-05-fentanyl-and-cocaine-overdose-deaths,github,True,2018-05-fentanyl-and-cocaine-overdose-deaths,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-03-oscars-script-diversity-analysis,github,True,2018-03-oscars-script-diversity-analysis,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-02-olympic-figure-skating-analysis,github,True,2018-02-olympic-figure-skating-analysis,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-02-figure-skating-analysis,github,True,2018-02-figure-skating-analysis,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-01-trump-state-of-the-union,github,True,2018-01-trump-state-of-the-union,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-01-twitter-withheld-accounts,github,True,2018-01-twitter-withheld-accounts,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2018-01-trump-twitter-wars,github,True,2018-01-trump-twitter-wars,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-12-fake-news-top-50,github,True,2017-12-fake-news-top-50,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-12-sexual-misconduct-cable-news-coverage,github,True,2017-12-sexual-misconduct-cable-news-coverage,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-12-eeoc-harassment-charges/,github,True,,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-11-federal-employee-diversity,github,True,2017-11-federal-employee-diversity,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-11-gun-sales-estimates,github,True,2017-11-gun-sales-estimates,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-09-harvey-emissions-update,github,True,2017-09-harvey-emissions-update,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-09-federal-employee-departure-rates,github,True,2017-09-federal-employee-departure-rates,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-09-science-foia,github,True,2017-09-science-foia,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-08-harvey-emissions-reports,github,True,2017-08-harvey-emissions-reports,BuzzFeedNews,BuzzFeed News
